Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,251,591,842,Kehsi,MMR014015
 Rural,547,7512,8059,Kehsi,MMR014015
 Total,798,8103,8901,Kehsi,MMR014015
