Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9905,9001,18906,Sittway,MMR012001
 Rural,3000,7130,10130,Sittway,MMR012001
 Total,12905,16131,29036,Sittway,MMR012001
