Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3756,2186,5942,Hmawby,MMR013003
 Rural,24104,26423,50527,Hmawby,MMR013003
 Total,27860,28609,56469,Hmawby,MMR013003
