Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2606,1565,4171,Naungkhio,MMR015013
 Rural,7803,20250,28053,Naungkhio,MMR015013
 Total,10409,21815,32224,Naungkhio,MMR015013
