Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1084,1382,2466,Ponnagyun,MMR012002
 Rural,1065,21804,22869,Ponnagyun,MMR012002
 Total,2149,23186,25335,Ponnagyun,MMR012002
