Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,134,452,586,Minelon(ST),MMR015012
 Rural,213,5057,5270,Minelon(ST),MMR015012
 Total,347,5509,5856,Minelon(ST),MMR015012
