Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1266,967,2233,Momeik,MMR015017
 Rural,2293,9126,11419,Momeik,MMR015017
 Total,3559,10093,13652,Momeik,MMR015017
