Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1578,1097,2675,Ngwehsaung(ST),MMR017001
 Rural,1858,4937,6795,Ngwehsaung(ST),MMR017001
 Total,3436,6034,9470,Ngwehsaung(ST),MMR017001
