Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2876,3932,6808,Tantyan,MMR015004
 Rural,822,27512,28334,Tantyan,MMR015004
 Total,3698,31444,35142,Tantyan,MMR015004
