Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,8166,433,8599,Lanmadaw,MMR013035
 Total,8166,433,8599,Lanmadaw,MMR013035
