Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,993,1063,2056,Htantabin,MMR013006
 Rural,11092,21063,32155,Htantabin,MMR013006
 Total,12085,22126,34211,Htantabin,MMR013006
