Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,4220,4977,9197,Twantay,MMR013027
 Rural,12608,29797,42405,Twantay,MMR013027
 Total,16828,34774,51602,Twantay,MMR013027
