Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,195,993,1188,Thabeikkyin,MMR010012
 Rural,2378,22183,24561,Thabeikkyin,MMR010012
 Total,2573,23176,25749,Thabeikkyin,MMR010012
