Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3018,2882,5900,Nyaungdon,MMR017021
 Rural,10610,34691,45301,Nyaungdon,MMR017021
 Total,13628,37573,51201,Nyaungdon,MMR017021
