Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,818,839,1657,Ngazun,MMR010021
 Rural,4275,21906,26181,Ngazun,MMR010021
 Total,5093,22745,27838,Ngazun,MMR010021
