Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,39645,13402,53047,Chanmyatharzi,MMR010004
 Total,39645,13402,53047,Chanmyatharzi,MMR010004
