Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,681,459,1140,Kyaukhtu(ST),MMR009025
 Rural,1966,4503,6469,Kyaukhtu(ST),MMR009025
 Total,2647,4962,7609,Kyaukhtu(ST),MMR009025
