Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1655,1391,3046,Einme,MMR017015
 Rural,5341,38068,43409,Einme,MMR017015
 Total,6996,39459,46455,Einme,MMR017015
