Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3,88,91,Monehta(ST),MMR016008
 Rural,12,826,838,Monehta(ST),MMR016008
 Total,15,914,929,Monehta(ST),MMR016008
