Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,901,432,1333,Minepyin,MMR016007
 Rural,1122,8150,9272,Minepyin,MMR016007
 Total,2023,8582,10605,Minepyin,MMR016007
