Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,13152,12179,25331,Dala,MMR013030
 Rural,5056,7525,12581,Dala,MMR013030
 Total,18208,19704,37912,Dala,MMR013030
