Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1104,999,2103,Mone`,MMR014019
 Rural,561,3560,4121,Mone`,MMR014019
 Total,1665,4559,6224,Mone`,MMR014019
