Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1333,926,2259,Pindaya,MMR014006
 Rural,1516,13769,15285,Pindaya,MMR014006
 Total,2849,14695,17544,Pindaya,MMR014006
