Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,35386,7318,42704,Dagon Myothit(North),MMR013019
 Total,35386,7318,42704,Dagon Myothit(North),MMR013019
