Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,997,545,1542,Kunhing,MMR014014
 Rural,559,2469,3028,Kunhing,MMR014014
 Total,1556,3014,4570,Kunhing,MMR014014
