Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1283,676,1959,Minepan,MMR014021
 Rural,1090,2372,3462,Minepan,MMR014021
 Total,2373,3048,5421,Minepan,MMR014021
