Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,4128,5987,10115,Bogale,MMR017024
 Rural,8894,56978,65872,Bogale,MMR017024
 Total,13022,62965,75987,Bogale,MMR017024
