Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,243,536,779,Manton,MMR015019
 Rural,178,6726,6904,Manton,MMR015019
 Total,421,7262,7683,Manton,MMR015019
