Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,79,205,284,Minekoke(ST),MMR016006
 Rural,226,2692,2918,Minekoke(ST),MMR016006
 Total,305,2897,3202,Minekoke(ST),MMR016006
