Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2685,1661,4346,Myitthar,MMR010015
 Rural,10394,31277,41671,Myitthar,MMR010015
 Total,13079,32938,46017,Myitthar,MMR010015
