Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1784,2508,4292,Pantanaw,MMR017020
 Rural,7458,48527,55985,Pantanaw,MMR017020
 Total,9242,51035,60277,Pantanaw,MMR017020
