Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2805,2506,5311,Madaya,MMR010009
 Rural,12529,40805,53334,Madaya,MMR010009
 Total,15334,43311,58645,Madaya,MMR010009
