Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1696,2254,3950,Kyaungon,MMR017007
 Rural,6311,31141,37452,Kyaungon,MMR017007
 Total,8007,33395,41402,Kyaungon,MMR017007
