Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1902,5372,7274,Myauk U,MMR012003
 Rural,2168,32083,34251,Myauk U,MMR012003
 Total,4070,37455,41525,Myauk U,MMR012003
