Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1163,617,1780,Singaing,MMR010014
 Rural,13028,18771,31799,Singaing,MMR010014
 Total,14191,19388,33579,Singaing,MMR010014
