Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3165,2162,5327,Yame`thin,MMR010023
 Rural,9828,42104,51932,Yame`thin,MMR010023
 Total,12993,44266,57259,Yame`thin,MMR010023
