Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,34191,24320,58511,Shwepyitha,MMR013007
 Rural,7768,7496,15264,Shwepyitha,MMR013007
 Total,41959,31816,73775,Shwepyitha,MMR013007
