Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9913,1181,11094,Tachileik,MMR016009
 Rural,13017,7068,20085,Tachileik,MMR016009
 Total,22930,8249,31179,Tachileik,MMR016009
