Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1391,923,2314,Maungtaw,MMR012009
 Rural,1117,3959,5076,Maungtaw,MMR012009
 Total,2508,4882,7390,Maungtaw,MMR012009
