Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1355,1411,2766,Yekyi,MMR017006
 Rural,5556,19480,25036,Yekyi,MMR017006
 Total,6911,20891,27802,Yekyi,MMR017006
