Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,25624,14044,39668,Myitkyina,MMR001001
 Rural,2848,8067,10915,Myitkyina,MMR001001
 Total,28472,22111,50583,Myitkyina,MMR001001
 Urban,1693,2127,3820,Waingmaw,MMR001002
 Rural,2975,12985,15960,Waingmaw,MMR001002
 Total,4668,15112,19780,Waingmaw,MMR001002
 Urban,12,66,78,Ingyanyan,MMR001003
 Rural,10,197,207,Ingyanyan,MMR001003
 Total,22,263,285,Ingyanyan,MMR001003
 Urban,1700,1994,3694,Tanaing,MMR001004
 Rural,520,2184,2704,Tanaing,MMR001004
 Total,2220,4178,6398,Tanaing,MMR001004
 Urban,57,272,329,Chiphwe,MMR001005
 Rural,331,1271,1602,Chiphwe,MMR001005
 Total,388,1543,1931,Chiphwe,MMR001005
 Urban,5,61,66,Hsotlaw,MMR001006
 Rural,29,978,1007,Hsotlaw,MMR001006
 Total,34,1039,1073,Hsotlaw,MMR001006
 Urban,137,567,704,Hsinbo(ST),MMR001001
 Rural,130,1174,1304,Hsinbo(ST),MMR001001
 Total,267,1741,2008,Hsinbo(ST),MMR001001
 Urban,166,344,510,Hsadone(ST),MMR001002
 Rural,496,604,1100,Hsadone(ST),MMR001002
 Total,662,948,1610,Hsadone(ST),MMR001002
 Urban,150,24,174,Kanpaikti(ST),MMR001002
 Rural,400,896,1296,Kanpaikti(ST),MMR001002
 Total,550,920,1470,Kanpaikti(ST),MMR001002
 Urban,290,735,1025,Shinbwayyan(ST),MMR001004
 Rural,46,1059,1105,Shinbwayyan(ST),MMR001004
 Total,336,1794,2130,Shinbwayyan(ST),MMR001004
 Urban,43,153,196,Panwa(ST),MMR001005
 Rural,380,799,1179,Panwa(ST),MMR001005
 Total,423,952,1375,Panwa(ST),MMR001005
 Urban,4052,2301,6353,Mohnyin,MMR001007
 Rural,7166,16671,23837,Mohnyin,MMR001007
 Total,11218,18972,30190,Mohnyin,MMR001007
 Urban,2707,1741,4448,Mogaung,MMR001008
 Rural,6309,14141,20450,Mogaung,MMR001008
 Total,9016,15882,24898,Mogaung,MMR001008
 Urban,4473,2383,6856,Phakant,MMR001009
 Rural,11805,14473,26278,Phakant,MMR001009
 Total,16278,16856,33134,Phakant,MMR001009
 Urban,2595,1946,4541,Hopin(ST),MMR001007
 Rural,2014,2877,4891,Hopin(ST),MMR001007
 Total,4609,4823,9432,Hopin(ST),MMR001007
 Urban,225,805,1030,Kamine(ST),MMR001009
 Rural,284,2184,2468,Kamine(ST),MMR001009
 Total,509,2989,3498,Kamine(ST),MMR001009
 Urban,5734,3781,9515,Bhamo,MMR001010
 Rural,4086,10560,14646,Bhamo,MMR001010
 Total,9820,14341,24161,Bhamo,MMR001010
 Urban,1746,1656,3402,Shwegu,MMR001011
 Rural,2120,10306,12426,Shwegu,MMR001011
 Total,3866,11962,15828,Shwegu,MMR001011
 Urban,630,1460,2090,Momauk,MMR001012
 Rural,1027,5517,6544,Momauk,MMR001012
 Total,1657,6977,8634,Momauk,MMR001012
 Urban,517,1101,1618,Mansi,MMR001013
 Rural,2480,6456,8936,Mansi,MMR001013
 Total,2997,7557,10554,Mansi,MMR001013
 Urban,66,295,361,Myohla(ST),MMR001011
 Rural,63,369,432,Myohla(ST),MMR001011
 Total,129,664,793,Myohla(ST),MMR001011
 Urban,783,442,1225,Lwe`ge`(ST),MMR001012
 Rural,191,87,278,Lwe`ge`(ST),MMR001012
 Total,974,529,1503,Lwe`ge`(ST),MMR001012
 Urban,57,254,311,Dotphoneyan(ST),MMR001012
 Rural,415,1507,1922,Dotphoneyan(ST),MMR001012
 Total,472,1761,2233,Dotphoneyan(ST),MMR001012
 Urban,821,1990,2811,Putao,MMR001014
 Rural,330,7602,7932,Putao,MMR001014
 Total,1151,9592,10743,Putao,MMR001014
 Urban,20,152,172,Sumprabum,MMR001015
 Rural,25,282,307,Sumprabum,MMR001015
 Total,45,434,479,Sumprabum,MMR001015
 Urban,66,342,408,Machanbaw,MMR001016
 Rural,40,1271,1311,Machanbaw,MMR001016
 Total,106,1613,1719,Machanbaw,MMR001016
 Urban,3,67,70,Khaunglanphoo,MMR001018
 Rural,9,1632,1641,Khaunglanphoo,MMR001018
 Total,12,1699,1711,Khaunglanphoo,MMR001018
 Urban,40,320,360,Naungmoon,MMR001017
 Rural,9,574,583,Naungmoon,MMR001017
 Total,49,894,943,Naungmoon,MMR001017
 Urban,1,23,24,Pannandin(ST),MMR001017
 Rural,2,243,245,Pannandin(ST),MMR001017
 Total,3,266,269,Pannandin(ST),MMR001017
 Urban,7515,2907,10422,Loikaw,MMR002001
 Rural,5131,10942,16073,Loikaw,MMR002001
 Total,12646,13849,26495,Loikaw,MMR002001
 Urban,450,687,1137,Dimawso,MMR002002
 Rural,2423,11787,14210,Dimawso,MMR002002
 Total,2873,12474,15347,Dimawso,MMR002002
 Urban,217,636,853,Phruso,MMR002003
 Rural,133,4924,5057,Phruso,MMR002003
 Total,350,5560,5910,Phruso,MMR002003
 Urban,3,333,336,Shardaw,MMR002004
 Rural,7,1063,1070,Shardaw,MMR002004
 Total,10,1396,1406,Shardaw,MMR002004
 Urban,12,827,839,Bawlakhe,MMR002005
