Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2168,1695,3863,Taungtha,MMR010018
 Rural,9475,36514,45989,Taungtha,MMR010018
 Total,11643,38209,49852,Taungtha,MMR010018
