Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1542,2036,3578,Ingapu,MMR017013
 Rural,8659,44992,53651,Ingapu,MMR017013
 Total,10201,47028,57229,Ingapu,MMR017013
