Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,820,924,1744,Chaungzon,MMR011003
 Rural,7924,18276,26200,Chaungzon,MMR011003
 Total,8744,19200,27944,Chaungzon,MMR011003
