Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Rural,5359,3926,9285,Mine Pauk(ST),MMR016003
 Total,5359,3926,9285,Mine Pauk(ST),MMR016003
