Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,52,700,752,Minenaung(ST),MMR014015
 Rural,183,4876,5059,Minenaung(ST),MMR014015
 Total,235,5576,5811,Minenaung(ST),MMR014015
