Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,98,1117,1215,Maei(ST),MMR012016
 Rural,235,8503,8738,Maei(ST),MMR012016
 Total,333,9620,9953,Maei(ST),MMR012016
