Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3012,4191,7203,Labutta,MMR017016
 Rural,4949,42994,47943,Labutta,MMR017016
 Total,7961,47185,55146,Labutta,MMR017016
