Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1176,1791,2967,Lamine,MMR011006
 Rural,3834,11838,15672,Lamine,MMR011006
 Total,5010,13629,18639,Lamine,MMR011006
