Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1147,936,2083,Mineshu,MMR014017
 Rural,979,6139,7118,Mineshu,MMR014017
 Total,2126,7075,9201,Mineshu,MMR014017
