Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,30469,11172,41641,Mingaladon,MMR013002
 Rural,14057,10605,24662,Mingaladon,MMR013002
 Total,44526,21777,66303,Mingaladon,MMR013002
