Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,41,26,67,Makman,MMR015024
 Rural,109,3142,3251,Makman,MMR015024
 Total,150,3168,3318,Makman,MMR015024
