Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9704,602,10306,Pazuntaung,MMR013016
 Total,9704,602,10306,Pazuntaung,MMR013016
