Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2476,2704,5180,Danubyu,MMR017022
 Rural,5642,33975,39617,Danubyu,MMR017022
 Total,8118,36679,44797,Danubyu,MMR017022
