Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1625,298,1923,Theinni,MMR015002
 Rural,3462,6394,9856,Theinni,MMR015002
 Total,5087,6692,11779,Theinni,MMR015002
