Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,11069,2265,13334,MuSe,MMR015009
 Rural,4768,4112,8880,MuSe,MMR015009
 Total,15837,6377,22214,MuSe,MMR015009
