Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,10925,5705,16630,Amarapura,MMR010006
 Rural,18980,14016,32996,Amarapura,MMR010006
 Total,29905,19721,49626,Amarapura,MMR010006
