Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,920,1328,2248,Yanbye,MMR012013
 Rural,1059,19111,20170,Yanbye,MMR012013
 Total,1979,20439,22418,Yanbye,MMR012013
