Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1291,1196,2487,Tamoenye(ST),MMR015011
 Rural,425,10137,10562,Tamoenye(ST),MMR015011
 Total,1716,11333,13049,Tamoenye(ST),MMR015011
