Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5789,2960,8749,Hlegu,MMR013004
 Rural,21981,27293,49274,Hlegu,MMR013004
 Total,27770,30253,58023,Hlegu,MMR013004
