Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1811,1042,2853,Loilem,MMR014011
 Rural,947,7101,8048,Loilem,MMR014011
 Total,2758,8143,10901,Loilem,MMR014011
