Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3720,2393,6113,Ye,MMR011006
 Rural,5715,18163,23878,Ye,MMR011006
 Total,9435,20556,29991,Ye,MMR011006
