Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,176,657,833,Ngayokaung(ST),MMR017004
 Rural,666,8702,9368,Ngayokaung(ST),MMR017004
 Total,842,9359,10201,Ngayokaung(ST),MMR017004
