Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1125,1106,2231,Kawhmu,MMR013028
 Rural,7847,19714,27561,Kawhmu,MMR013028
 Total,8972,20820,29792,Kawhmu,MMR013028
